orderid,custid,empid,orderdate,requireddate,shippeddate,shipperid,freight,shipname,shipaddress,shipcity,shipregion,shippostalcode,shipcountry,chargeid
10261,61,4,2006-07-19 0:00:00,2006-08-16 0:00:00,2006-07-30 0:00:00,2,3.05,Ship to 61-B,"Rua da Panificadora, 6789",Rio de Janeiro,RJ,10274,Brazil,{ch_743w32_TEST}
10262,65,8,2006-07-22 0:00:00,2006-08-19 0:00:00,2006-07-25 0:00:00,3,48.29,Ship to 65-B,8901 Milton Dr.,Albuquerque,NM,10286,USA,{ch_743w32_TEST}
10263,20,9,2006-07-23 0:00:00,2006-08-20 0:00:00,2006-07-31 0:00:00,3,146.06,Destination FFXKT,Kirchgasse 0123,Graz,,10158,Austria,{ch_743w32_TEST}
10264,24,6,2006-07-24 0:00:00,2006-08-21 0:00:00,2006-08-23 0:00:00,3,3.67,Destination KBSBN,Åkergatan 9012,Bräcke,,10167,Sweden,{ch_743w32_TEST}
10265,7,2,2006-07-25 0:00:00,2006-08-22 0:00:00,2006-08-12 0:00:00,1,55.28,Ship to 7-A,"0123, place Kléber",Strasbourg,,10329,France,{ch_743w32_TEST}
10266,87,3,2006-07-26 0:00:00,2006-09-06 0:00:00,2006-07-31 0:00:00,3,25.73,Ship to 87-B,Torikatu 2345,Oulu,,10351,Finland,{ch_743w32_TEST}
10267,25,4,2006-07-29 0:00:00,2006-08-26 0:00:00,2006-08-06 0:00:00,1,208.58,Destination VAPXU,Berliner Platz 0123,München,,10168,Germany,{ch_743w32_TEST}
10268,33,8,2006-07-30 0:00:00,2006-08-27 0:00:00,2006-08-02 0:00:00,3,66.29,Destination QJVQH,5ª Ave. Los Palos Grandes 5678,Caracas,DF,10193,Venezuela,{ch_743w32_TEST}
10269,89,5,2006-07-31 0:00:00,2006-08-14 0:00:00,2006-08-09 0:00:00,1,4.56,Ship to 89-B,8901 - 12th Ave. S.,Seattle,WA,10357,USA,{ch_743w32_TEST}
10270,87,1,2006-08-01 0:00:00,2006-08-29 0:00:00,2006-08-02 0:00:00,1,136.54,Ship to 87-B,Torikatu 2345,Oulu,,10351,Finland,{ch_743w32_TEST}
10271,75,6,2006-08-01 0:00:00,2006-08-29 0:00:00,2006-08-30 0:00:00,2,4.54,Ship to 75-C,P.O. Box 7890,Lander,WY,10316,USA,{ch_743w32_TEST}
10272,65,6,2006-08-02 0:00:00,2006-08-30 0:00:00,2006-08-06 0:00:00,2,98.03,Ship to 65-A,7890 Milton Dr.,Albuquerque,NM,10285,USA,{ch_743w32_TEST}
10273,63,3,2006-08-05 0:00:00,2006-09-02 0:00:00,2006-08-12 0:00:00,3,76.07,Ship to 63-A,Taucherstraße 1234,Cunewalde,,10279,Germany,{ch_743w32_TEST}
10274,85,6,2006-08-06 0:00:00,2006-09-03 0:00:00,2006-08-16 0:00:00,1,6.01,Ship to 85-B,6789 rue de l'Abbaye,Reims,,10345,France,{ch_743w32_TEST}
10275,49,1,2006-08-07 0:00:00,2006-09-04 0:00:00,2006-08-09 0:00:00,1,26.93,Ship to 49-A,Via Ludovico il Moro 8901,Bergamo,,10235,Italy,{ch_743w32_TEST}
10276,80,8,2006-08-08 0:00:00,2006-08-22 0:00:00,2006-08-14 0:00:00,3,13.84,Ship to 80-C,Avda. Azteca 5678,México D.F.,,10334,Mexico,{ch_743w32_TEST}
10277,52,2,2006-08-09 0:00:00,2006-09-06 0:00:00,2006-08-13 0:00:00,3,125.77,Ship to 52-A,Heerstr. 9012,Leipzig,,10247,Germany,{ch_743w32_TEST}
10278,5,8,2006-08-12 0:00:00,2006-09-09 0:00:00,2006-08-16 0:00:00,2,92.69,Ship to 5-C,Berguvsvägen 1234,Luleå,,10269,Sweden,{ch_743w32_TEST}
10279,44,8,2006-08-13 0:00:00,2006-09-10 0:00:00,2006-08-16 0:00:00,2,25.83,Ship to 44-A,Magazinweg 4567,Frankfurt a.M.,,10222,Germany,{ch_743w32_TEST}
10280,5,2,2006-08-14 0:00:00,2006-09-11 0:00:00,2006-09-12 0:00:00,1,8.98,Ship to 5-B,Berguvsvägen 0123,Luleå,,10268,Sweden,{ch_743w32_TEST}
10281,69,4,2006-08-14 0:00:00,2006-08-28 0:00:00,2006-08-21 0:00:00,1,2.94,Ship to 69-A,"Gran Vía, 9012",Madrid,,10297,Spain,{ch_743w32_TEST}
10282,69,4,2006-08-15 0:00:00,2006-09-12 0:00:00,2006-08-21 0:00:00,1,12.69,Ship to 69-B,"Gran Vía, 0123",Madrid,,10298,Spain,{ch_743w32_TEST}
10283,46,3,2006-08-16 0:00:00,2006-09-13 0:00:00,2006-08-23 0:00:00,3,84.81,Ship to 46-A,Carrera 0123 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,10227,Venezuela,{ch_743w32_TEST}
10284,44,4,2006-08-19 0:00:00,2006-09-16 0:00:00,2006-08-27 0:00:00,1,76.56,Ship to 44-A,Magazinweg 4567,Frankfurt a.M.,,10222,Germany,{ch_743w32_TEST}
10285,63,1,2006-08-20 0:00:00,2006-09-17 0:00:00,2006-08-26 0:00:00,2,76.83,Ship to 63-B,Taucherstraße 2345,Cunewalde,,10280,Germany,{ch_743w32_TEST}
10286,63,8,2006-08-21 0:00:00,2006-09-18 0:00:00,2006-08-30 0:00:00,3,229.24,Ship to 63-B,Taucherstraße 2345,Cunewalde,,10280,Germany,{ch_743w32_TEST}
10287,67,8,2006-08-22 0:00:00,2006-09-19 0:00:00,2006-08-28 0:00:00,3,12.76,Ship to 67-A,"Av. Copacabana, 3456",Rio de Janeiro,RJ,10291,Brazil,{ch_743w32_TEST}
10288,66,4,2006-08-23 0:00:00,2006-09-20 0:00:00,2006-09-03 0:00:00,1,7.45,Ship to 66-C,Strada Provinciale 2345,Reggio Emilia,,10290,Italy,{ch_743w32_TEST}
10289,11,7,2006-08-26 0:00:00,2006-09-23 0:00:00,2006-08-28 0:00:00,3,22.77,Destination DLEUN,Fauntleroy Circus 4567,London,,10132,UK,{ch_743w32_TEST}
10290,15,8,2006-08-27 0:00:00,2006-09-24 0:00:00,2006-09-03 0:00:00,1,79.7,Destination HQZHO,"Av. dos Lusíadas, 4567",Sao Paulo,SP,10142,Brazil,{ch_743w32_TEST}
10291,61,6,2006-08-27 0:00:00,2006-09-24 0:00:00,2006-09-04 0:00:00,2,6.4,Ship to 61-A,"Rua da Panificadora, 5678",Rio de Janeiro,RJ,10273,Brazil,{ch_743w32_TEST}
10292,81,1,2006-08-28 0:00:00,2006-09-25 0:00:00,2006-09-02 0:00:00,2,1.35,Ship to 81-A,"Av. Inês de Castro, 6789",Sao Paulo,SP,10335,Brazil,{ch_743w32_TEST}
10293,80,1,2006-08-29 0:00:00,2006-09-26 0:00:00,2006-09-11 0:00:00,3,21.18,Ship to 80-B,Avda. Azteca 4567,México D.F.,,10333,Mexico,{ch_743w32_TEST}
10294,65,4,2006-08-30 0:00:00,2006-09-27 0:00:00,2006-09-05 0:00:00,2,147.26,Ship to 65-A,7890 Milton Dr.,Albuquerque,NM,10285,USA,{ch_743w32_TEST}
10295,85,2,2006-09-02 0:00:00,2006-09-30 0:00:00,2006-09-10 0:00:00,2,1.15,Ship to 85-C,7890 rue de l'Abbaye,Reims,,10346,France,{ch_743w32_TEST}
10296,46,6,2006-09-03 0:00:00,2006-10-01 0:00:00,2006-09-11 0:00:00,1,0.12,Ship to 46-C,Carrera 2345 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,10229,Venezuela,{ch_743w32_TEST}
10297,7,5,2006-09-04 0:00:00,2006-10-16 0:00:00,2006-09-10 0:00:00,2,5.74,Ship to 7-C,"2345, place Kléber",Strasbourg,,10331,France,{ch_743w32_TEST}
10298,37,6,2006-09-05 0:00:00,2006-10-03 0:00:00,2006-09-11 0:00:00,2,168.22,Destination ATSOA,4567 Johnstown Road,Cork,Co. Cork,10202,Ireland,{ch_743w32_TEST}
10299,67,4,2006-09-06 0:00:00,2006-10-04 0:00:00,2006-09-13 0:00:00,2,29.76,Ship to 67-A,"Av. Copacabana, 3456",Rio de Janeiro,RJ,10291,Brazil,{ch_743w32_TEST}
10300,49,2,2006-09-09 0:00:00,2006-10-07 0:00:00,2006-09-18 0:00:00,2,17.68,Ship to 49-A,Via Ludovico il Moro 8901,Bergamo,,10235,Italy,{ch_743w32_TEST}
10301,86,8,2006-09-09 0:00:00,2006-10-07 0:00:00,2006-09-17 0:00:00,2,45.08,Ship to 86-A,Adenauerallee 8901,Stuttgart,,10347,Germany,{ch_743w32_TEST}
10302,76,4,2006-09-10 0:00:00,2006-10-08 0:00:00,2006-10-09 0:00:00,2,6.27,Ship to 76-B,"Boulevard Tirou, 9012",Charleroi,,10318,Belgium,{ch_743w32_TEST}
10303,30,7,2006-09-11 0:00:00,2006-10-09 0:00:00,2006-09-18 0:00:00,2,107.83,Destination IIYDD,"C/ Romero, 5678",Sevilla,,10183,Spain,{ch_743w32_TEST}
10304,80,1,2006-09-12 0:00:00,2006-10-10 0:00:00,2006-09-17 0:00:00,2,63.79,Ship to 80-C,Avda. Azteca 5678,México D.F.,,10334,Mexico,{ch_743w32_TEST}
10305,55,8,2006-09-13 0:00:00,2006-10-11 0:00:00,2006-10-09 0:00:00,3,257.62,Ship to 55-B,8901 Bering St.,Anchorage,AK,10256,USA,{ch_743w32_TEST}
10306,69,1,2006-09-16 0:00:00,2006-10-14 0:00:00,2006-09-23 0:00:00,3,7.56,Ship to 69-B,"Gran Vía, 0123",Madrid,,10298,Spain,{ch_743w32_TEST}
10307,48,2,2006-09-17 0:00:00,2006-10-15 0:00:00,2006-09-25 0:00:00,2,0.56,Ship to 48-B,6789 Chiaroscuro Rd.,Portland,OR,10233,USA,{ch_743w32_TEST}
10308,2,7,2006-09-18 0:00:00,2006-10-16 0:00:00,2006-09-24 0:00:00,3,1.61,Destination QMVCI,Avda. de la Constitución 2345,México D.F.,,10180,Mexico,{ch_743w32_TEST}
10309,37,3,2006-09-19 0:00:00,2006-10-17 0:00:00,2006-10-23 0:00:00,1,47.3,Destination ATSOA,4567 Johnstown Road,Cork,Co. Cork,10202,Ireland,{ch_743w32_TEST}
10310,77,8,2006-09-20 0:00:00,2006-10-18 0:00:00,2006-09-27 0:00:00,2,17.52,Ship to 77-B,2345 Jefferson Way Suite 2,Portland,OR,10321,USA,{ch_743w32_TEST}
10311,18,1,2006-09-20 0:00:00,2006-10-04 0:00:00,2006-09-26 0:00:00,3,24.69,Destination SNPXM,"0123, rue des Cinquante Otages",Nantes,,10148,France,{ch_743w32_TEST}
10312,86,2,2006-09-23 0:00:00,2006-10-21 0:00:00,2006-10-03 0:00:00,2,40.26,Ship to 86-B,Adenauerallee 9012,Stuttgart,,10348,Germany,{ch_743w32_TEST}
10313,63,2,2006-09-24 0:00:00,2006-10-22 0:00:00,2006-10-04 0:00:00,2,1.96,Ship to 63-A,Taucherstraße 1234,Cunewalde,,10279,Germany,{ch_743w32_TEST}
10314,65,1,2006-09-25 0:00:00,2006-10-23 0:00:00,2006-10-04 0:00:00,2,74.16,Ship to 65-A,7890 Milton Dr.,Albuquerque,NM,10285,USA,{ch_743w32_TEST}
10315,38,4,2006-09-26 0:00:00,2006-10-24 0:00:00,2006-10-03 0:00:00,2,41.76,Destination AXVHD,Garden House Crowther Way 9012,Cowes,Isle of Wight,10207,UK,{ch_743w32_TEST}
10316,65,1,2006-09-27 0:00:00,2006-10-25 0:00:00,2006-10-08 0:00:00,3,150.15,Ship to 65-B,8901 Milton Dr.,Albuquerque,NM,10286,USA,{ch_743w32_TEST}
10317,48,6,2006-09-30 0:00:00,2006-10-28 0:00:00,2006-10-10 0:00:00,1,12.69,Ship to 48-B,6789 Chiaroscuro Rd.,Portland,OR,10233,USA,{ch_743w32_TEST}
10318,38,8,2006-10-01 0:00:00,2006-10-29 0:00:00,2006-10-04 0:00:00,2,4.73,Destination AXVHD,Garden House Crowther Way 9012,Cowes,Isle of Wight,10207,UK,{ch_743w32_TEST}
10319,80,7,2006-10-02 0:00:00,2006-10-30 0:00:00,2006-10-11 0:00:00,3,64.5,Ship to 80-B,Avda. Azteca 4567,México D.F.,,10333,Mexico,{ch_743w32_TEST}
10320,87,5,2006-10-03 0:00:00,2006-10-17 0:00:00,2006-10-18 0:00:00,3,34.57,Ship to 87-A,Torikatu 1234,Oulu,,10350,Finland,{ch_743w32_TEST}
10321,38,3,2006-10-03 0:00:00,2006-10-31 0:00:00,2006-10-11 0:00:00,2,3.43,Destination LMVGS,Garden House Crowther Way 8901,Cowes,Isle of Wight,10206,UK,{ch_743w32_TEST}
10322,58,7,2006-10-04 0:00:00,2006-11-01 0:00:00,2006-10-23 0:00:00,3,0.4,Ship to 58-A,Calle Dr. Jorge Cash 3456,México D.F.,,10261,Mexico,{ch_743w32_TEST}
10323,39,4,2006-10-07 0:00:00,2006-11-04 0:00:00,2006-10-14 0:00:00,1,4.88,Destination RMBHM,Maubelstr. 1234,Brandenburg,,10209,Germany,{ch_743w32_TEST}
10324,71,9,2006-10-08 0:00:00,2006-11-05 0:00:00,2006-10-10 0:00:00,1,214.27,Ship to 71-C,9012 Suffolk Ln.,Boise,ID,10307,USA,{ch_743w32_TEST}
10325,39,1,2006-10-09 0:00:00,2006-10-23 0:00:00,2006-10-14 0:00:00,3,64.86,Destination RMBHM,Maubelstr. 1234,Brandenburg,,10209,Germany,{ch_743w32_TEST}
10326,8,4,2006-10-10 0:00:00,2006-11-07 0:00:00,2006-10-14 0:00:00,2,77.92,Ship to 8-A,"C/ Araquil, 0123",Madrid,,10359,Spain,{ch_743w32_TEST}
10327,24,2,2006-10-11 0:00:00,2006-11-08 0:00:00,2006-10-14 0:00:00,1,63.36,Destination NCKKO,Åkergatan 7890,Bräcke,,10165,Sweden,{ch_743w32_TEST}
10328,28,4,2006-10-14 0:00:00,2006-11-11 0:00:00,2006-10-17 0:00:00,3,87.03,Destination CIRQO,Jardim das rosas n. 8901,Lisboa,,10176,Portugal,{ch_743w32_TEST}
10329,75,4,2006-10-15 0:00:00,2006-11-26 0:00:00,2006-10-23 0:00:00,2,191.67,Ship to 75-C,P.O. Box 7890,Lander,WY,10316,USA,{ch_743w32_TEST}
10330,46,3,2006-10-16 0:00:00,2006-11-13 0:00:00,2006-10-28 0:00:00,1,12.75,Ship to 46-A,Carrera 0123 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,10227,Venezuela,{ch_743w32_TEST}
10331,9,9,2006-10-16 0:00:00,2006-11-27 0:00:00,2006-10-21 0:00:00,1,10.19,Ship to 9-C,"0123, rue des Bouchers",Marseille,,10369,France,{ch_743w32_TEST}
10332,51,3,2006-10-17 0:00:00,2006-11-28 0:00:00,2006-10-21 0:00:00,2,52.84,Ship to 51-B,7890 rue St. Laurent,Montréal,Québec,10245,Canada,{ch_743w32_TEST}
10333,87,5,2006-10-18 0:00:00,2006-11-15 0:00:00,2006-10-25 0:00:00,3,0.59,Ship to 87-C,Torikatu 3456,Oulu,,10352,Finland,{ch_743w32_TEST}
10334,84,8,2006-10-21 0:00:00,2006-11-18 0:00:00,2006-10-28 0:00:00,2,8.56,Ship to 84-B,"4567, rue du Commerce",Lyon,,10343,France,{ch_743w32_TEST}
10335,37,7,2006-10-22 0:00:00,2006-11-19 0:00:00,2006-10-24 0:00:00,2,42.11,Destination ATSOA,4567 Johnstown Road,Cork,Co. Cork,10202,Ireland,{ch_743w32_TEST}
10336,60,7,2006-10-23 0:00:00,2006-11-20 0:00:00,2006-10-25 0:00:00,2,15.51,Ship to 60-B,Estrada da saúde n. 3456,Lisboa,,10271,Portugal,{ch_743w32_TEST}
10337,25,4,2006-10-24 0:00:00,2006-11-21 0:00:00,2006-10-29 0:00:00,3,108.26,Destination QOCBL,Berliner Platz 1234,München,,10169,Germany,{ch_743w32_TEST}
10338,55,4,2006-10-25 0:00:00,2006-11-22 0:00:00,2006-10-29 0:00:00,3,84.21,Ship to 55-C,9012 Bering St.,Anchorage,AK,10257,USA,{ch_743w32_TEST}
10339,51,2,2006-10-28 0:00:00,2006-11-25 0:00:00,2006-11-04 0:00:00,2,15.66,Ship to 51-C,8901 rue St. Laurent,Montréal,Québec,10246,Canada,{ch_743w32_TEST}
10340,9,1,2006-10-29 0:00:00,2006-11-26 0:00:00,2006-11-08 0:00:00,3,166.31,Ship to 9-A,"8901, rue des Bouchers",Marseille,,10367,France,{ch_743w32_TEST}
10341,73,7,2006-10-29 0:00:00,2006-11-26 0:00:00,2006-11-05 0:00:00,3,26.78,Ship to 73-A,Vinbæltet 1234,Kobenhavn,,10310,Denmark,{ch_743w32_TEST}
10342,25,4,2006-10-30 0:00:00,2006-11-13 0:00:00,2006-11-04 0:00:00,2,54.83,Destination VAPXU,Berliner Platz 0123,München,,10168,Germany,{ch_743w32_TEST}
10343,44,4,2006-10-31 0:00:00,2006-11-28 0:00:00,2006-11-06 0:00:00,1,110.37,Ship to 44-A,Magazinweg 4567,Frankfurt a.M.,,10222,Germany,{ch_743w32_TEST}
10344,89,4,2006-11-01 0:00:00,2006-11-29 0:00:00,2006-11-05 0:00:00,2,23.29,Ship to 89-A,7890 - 12th Ave. S.,Seattle,WA,10356,USA,{ch_743w32_TEST}
10345,63,2,2006-11-04 0:00:00,2006-12-02 0:00:00,2006-11-11 0:00:00,2,249.06,Ship to 63-B,Taucherstraße 2345,Cunewalde,,10280,Germany,{ch_743w32_TEST}
10346,65,3,2006-11-05 0:00:00,2006-12-17 0:00:00,2006-11-08 0:00:00,3,142.08,Ship to 65-A,7890 Milton Dr.,Albuquerque,NM,10285,USA,{ch_743w32_TEST}
10347,21,4,2006-11-06 0:00:00,2006-12-04 0:00:00,2006-11-08 0:00:00,3,3.1,Destination KKELL,"Rua Orós, 4567",Sao Paulo,SP,10162,Brazil,{ch_743w32_TEST}
10348,86,4,2006-11-07 0:00:00,2006-12-05 0:00:00,2006-11-15 0:00:00,2,0.78,Ship to 86-B,Adenauerallee 9012,Stuttgart,,10348,Germany,{ch_743w32_TEST}
10349,75,7,2006-11-08 0:00:00,2006-12-06 0:00:00,2006-11-15 0:00:00,1,8.63,Ship to 75-C,P.O. Box 7890,Lander,WY,10316,USA,{ch_743w32_TEST}
10350,41,6,2006-11-11 0:00:00,2006-12-09 0:00:00,2006-12-03 0:00:00,2,64.19,Destination DWJIO,9012 rue Alsace-Lorraine,Toulouse,,10217,France,{ch_743w32_TEST}
10351,20,1,2006-11-11 0:00:00,2006-12-09 0:00:00,2006-11-20 0:00:00,1,162.33,Destination RVDMF,Kirchgasse 9012,Graz,,10157,Austria,{ch_743w32_TEST}
10352,28,3,2006-11-12 0:00:00,2006-11-26 0:00:00,2006-11-18 0:00:00,3,1.3,Destination OTSWR,Jardim das rosas n. 9012,Lisboa,,10177,Portugal,{ch_743w32_TEST}
10353,59,7,2006-11-13 0:00:00,2006-12-11 0:00:00,2006-11-25 0:00:00,3,360.63,Ship to 59-B,Geislweg 7890,Salzburg,,10265,Austria,{ch_743w32_TEST}
10354,58,8,2006-11-14 0:00:00,2006-12-12 0:00:00,2006-11-20 0:00:00,3,53.8,Ship to 58-C,Calle Dr. Jorge Cash 5678,México D.F.,,10263,Mexico,{ch_743w32_TEST}
10355,4,6,2006-11-15 0:00:00,2006-12-13 0:00:00,2006-11-20 0:00:00,1,41.95,Ship to 4-A,Brook Farm Stratford St. Mary 0123,Colchester,Essex,10238,UK,{ch_743w32_TEST}
10356,86,6,2006-11-18 0:00:00,2006-12-16 0:00:00,2006-11-27 0:00:00,2,36.71,Ship to 86-A,Adenauerallee 8901,Stuttgart,,10347,Germany,{ch_743w32_TEST}
10357,46,1,2006-11-19 0:00:00,2006-12-17 0:00:00,2006-12-02 0:00:00,3,34.88,Ship to 46-B,Carrera 1234 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,10228,Venezuela,{ch_743w32_TEST}
10358,41,5,2006-11-20 0:00:00,2006-12-18 0:00:00,2006-11-27 0:00:00,1,19.64,Ship to 41-C,0123 rue Alsace-Lorraine,Toulouse,,10218,France,{ch_743w32_TEST}
10359,72,5,2006-11-21 0:00:00,2006-12-19 0:00:00,2006-11-26 0:00:00,3,288.43,Ship to 72-C,1234 Wadhurst Rd.,London,,10309,UK,{ch_743w32_TEST}
10360,7,4,2006-11-22 0:00:00,2006-12-20 0:00:00,2006-12-02 0:00:00,3,131.7,Ship to 7-C,"2345, place Kléber",Strasbourg,,10331,France,{ch_743w32_TEST}
10361,63,1,2006-11-22 0:00:00,2006-12-20 0:00:00,2006-12-03 0:00:00,2,183.17,Ship to 63-C,Taucherstraße 3456,Cunewalde,,10281,Germany,{ch_743w32_TEST}
10362,9,3,2006-11-25 0:00:00,2006-12-23 0:00:00,2006-11-28 0:00:00,1,96.04,Ship to 9-B,"9012, rue des Bouchers",Marseille,,10368,France,{ch_743w32_TEST}
10363,17,4,2006-11-26 0:00:00,2006-12-24 0:00:00,2006-12-04 0:00:00,3,30.54,Destination BJCXA,Walserweg 7890,Aachen,,10145,Germany,{ch_743w32_TEST}
10364,19,1,2006-11-26 0:00:00,2007-01-07 0:00:00,2006-12-04 0:00:00,1,71.97,Destination QTKCU,3456 King George,London,,10151,UK,{ch_743w32_TEST}
10365,3,3,2006-11-27 0:00:00,2006-12-25 0:00:00,2006-12-02 0:00:00,2,22,Destination FQFLS,Mataderos 3456,México D.F.,,10211,Mexico,{ch_743w32_TEST}
10366,29,8,2006-11-28 0:00:00,2007-01-09 0:00:00,2006-12-30 0:00:00,2,10.14,Destination VPNNG,"Rambla de Cataluña, 0123",Barcelona,,10178,Spain,{ch_743w32_TEST}
10367,83,7,2006-11-28 0:00:00,2006-12-26 0:00:00,2006-12-02 0:00:00,3,13.55,Ship to 83-B,Smagsloget 1234,Århus,,10340,Denmark,{ch_743w32_TEST}
10368,20,2,2006-11-29 0:00:00,2006-12-27 0:00:00,2006-12-02 0:00:00,2,101.95,Destination RVDMF,Kirchgasse 9012,Graz,,10157,Austria,{ch_743w32_TEST}
10369,75,8,2006-12-02 0:00:00,2006-12-30 0:00:00,2006-12-09 0:00:00,2,195.68,Ship to 75-C,P.O. Box 7890,Lander,WY,10316,USA,{ch_743w32_TEST}
10370,14,6,2006-12-03 0:00:00,2006-12-31 0:00:00,2006-12-27 0:00:00,2,1.17,Destination YUJRD,Hauptstr. 1234,Bern,,10139,Switzerland,{ch_743w32_TEST}
10371,41,1,2006-12-03 0:00:00,2006-12-31 0:00:00,2006-12-24 0:00:00,1,0.45,Ship to 41-C,0123 rue Alsace-Lorraine,Toulouse,,10218,France,{ch_743w32_TEST}
10372,62,5,2006-12-04 0:00:00,2007-01-01 0:00:00,2006-12-09 0:00:00,2,890.78,Ship to 62-A,"Alameda dos Canàrios, 8901",Sao Paulo,SP,10276,Brazil,{ch_743w32_TEST}
10373,37,4,2006-12-05 0:00:00,2007-01-02 0:00:00,2006-12-11 0:00:00,3,124.12,Destination KPVYJ,5678 Johnstown Road,Cork,Co. Cork,10203,Ireland,{ch_743w32_TEST}
10374,91,1,2006-12-05 0:00:00,2007-01-02 0:00:00,2006-12-09 0:00:00,3,3.94,Ship to 91-A,ul. Filtrowa 5678,Warszawa,,10364,Poland,{ch_743w32_TEST}
10375,36,3,2006-12-06 0:00:00,2007-01-03 0:00:00,2006-12-09 0:00:00,2,20.12,Destination HOHCR,City Center Plaza 3456 Main St.,Elgin,OR,10201,USA,{ch_743w32_TEST}
10376,51,1,2006-12-09 0:00:00,2007-01-06 0:00:00,2006-12-13 0:00:00,2,20.39,Ship to 51-B,7890 rue St. Laurent,Montréal,Québec,10245,Canada,{ch_743w32_TEST}
10377,72,1,2006-12-09 0:00:00,2007-01-06 0:00:00,2006-12-13 0:00:00,3,22.21,Ship to 72-C,1234 Wadhurst Rd.,London,,10309,UK,{ch_743w32_TEST}
10378,24,5,2006-12-10 0:00:00,2007-01-07 0:00:00,2006-12-19 0:00:00,3,5.44,Destination KBSBN,Åkergatan 9012,Bräcke,,10167,Sweden,{ch_743w32_TEST}
10379,61,2,2006-12-11 0:00:00,2007-01-08 0:00:00,2006-12-13 0:00:00,1,45.03,Ship to 61-B,"Rua da Panificadora, 6789",Rio de Janeiro,RJ,10274,Brazil,{ch_743w32_TEST}
10380,37,8,2006-12-12 0:00:00,2007-01-09 0:00:00,2007-01-16 0:00:00,3,35.03,Destination KPVYJ,5678 Johnstown Road,Cork,Co. Cork,10203,Ireland,{ch_743w32_TEST}
10381,46,3,2006-12-12 0:00:00,2007-01-09 0:00:00,2006-12-13 0:00:00,3,7.99,Ship to 46-C,Carrera 2345 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,10229,Venezuela,{ch_743w32_TEST}
10382,20,4,2006-12-13 0:00:00,2007-01-10 0:00:00,2006-12-16 0:00:00,1,94.77,Destination FFXKT,Kirchgasse 0123,Graz,,10158,Austria,{ch_743w32_TEST}
10383,4,8,2006-12-16 0:00:00,2007-01-13 0:00:00,2006-12-18 0:00:00,3,34.24,Ship to 4-B,Brook Farm Stratford St. Mary 1234,Colchester,Essex,10239,UK,{ch_743w32_TEST}
10384,5,3,2006-12-16 0:00:00,2007-01-13 0:00:00,2006-12-20 0:00:00,3,168.64,Ship to 5-C,Berguvsvägen 1234,Luleå,,10269,Sweden,{ch_743w32_TEST}
